gene,ref_rank,screen_direction,therapeutic_action,confidence,layers_concordant,agrees_with_screen,mechanistic_rationale,primary_inconsistency,repurposing_note
MFSD12,89,driver_antagonize,,low,2,no,"Screen shows strong, significant driver signal (z=-4.29, FDR=0.001) supporting antagonism, and ab-tractable modality exists, but genetics is weak for autoimmunity (Crohn score 0.23, top hit is precordial pain not immune-related) and protein class is unknown.","Population genetics does not converge on an autoimmune indication (top OT association is 'precordial pain', autoimmune score only 0.23) despite a robust screen phenotype, and protein class/mechanism is undefined (NaN), undermining confidence in a coherent druggable hypothesis.","novel - no existing drug; MFSD12 is an uncharacterized MFS-family transporter with no approved ligands, would require de novo antibody/biologic development against a surface epitope."
SMS,93,brake_agonize,agonize,low,2,yes,"Knockdown strongly raises the inflammatory program (signed z=7.36, FDR=0) indicating SMS is a brake, and layer3 flags small-molecule tractability, but genetics is only moderate with weak autoimmune linkage (score 0.34) and top association is a neurodevelopmental syndrome, not autoimmune disease, and it's not LoF-constrained.","Top disease genetics signal (Snyder-Robinson syndrome, score 0.81) is unrelated to autoimmunity, while the autoimmune-specific score is weak (0.34), so population genetics does not corroborate the screen's inflammatory-brake hypothesis.","novel - no existing drug (SMS/spermine synthase inhibitors are largely tool compounds; no approved agents, n_existing_drugs=0)"
NUDT3,94,driver_antagonize,antagonize,low,2,yes,"Screen shows robust driver signal (signed z=-3.82, FDR=0.004) and small-molecule tractability, but top genetic association is neurodegenerative disease (0.45) with only weak autoimmune linkage (Graves 0.30) and no LoF constraint.","Layer2 genetics is strong but for the wrong indication (neurodegeneration, not autoimmune), and OT_autoimmune_score (0.30) is weak, undermining disease-relevance for an autoimmune/inflammatory hypothesis despite the clean screen phenotype.","novel - no existing drug (novelty_class: novel_undrugged, n_existing_drugs=0); would require de novo small-molecule campaign against NUDT3 (a Nudix hydrolase family member) with no chemical starting point."
SLC25A24,108,driver_antagonize,antagonize,low,2,yes,"Strong significant driver signal (z=-4.36, FDR=0.002) and ab_tractable transporter support antagonism, but genetics tie only to Fontaine progeroid syndrome (score 0.79) with zero autoimmune association and no LoF constraint, undermining disease relevance.","Robust screen effect and druggability are not backed by any autoimmune genetic association (OT_autoimmune_score=0.0); top genetic hit is an unrelated rare progeroid syndrome, so causal and genetic layers point to different indications.","novel - no existing drug (n_existing_drugs=0); as a mitochondrial ATP-Mg/Pi carrier (SLC25A24), could potentially build on prior mitochondrial transporter-targeting small molecule efforts, but no direct chemical matter exists."
SMAD4,113,driver_antagonize,,low,2,no,"Screen shows significant driver signal (z=-3.47, FDR=0.023) and SMAD4 is a TF with sm_tractable rating, but top genetics association is juvenile polyposis (score 0.84) not autoimmune disease (score 0.0), undermining indication linkage.","Strong population genetics support is for a non-autoimmune (polyposis/cancer-related) phenotype, with zero autoimmune disease association, so genetics does not corroborate the autoimmune therapeutic hypothesis despite the screen's driver call.","novel - no existing drug; SMAD4 as a core TGF-beta/BMP pathway TF is undrugged and LoF-constrained, raising toxicity concern for small-molecule antagonism given its tumor-suppressor role."
RAD51B,116,brake_agonize,uncertain,low,2,uncertain,"Knockdown raises the pro-inflammatory program (signed z=3.55, FDR 0.018) suggesting RAD51B is a brake, but top genetics hit is cancer (0.54) not autoimmune disease (asthma only 0.42) and protein class is undefined, undercutting a clean agonize hypothesis.","RAD51B is a core homologous-recombination DNA-repair factor primarily genetically linked to cancer risk, not autoimmunity, and its protein class is unspecified (NaN), making 'agonize with small molecule' mechanistically unclear and potentially unsafe given DNA-repair biology.","novel - no existing drug (0 existing drugs, novel_undrugged class; RAD51B is not a validated small-molecule target and agonism of a recombinase-associated protein is mechanistically atypical for drug development)"
PIK3C3,119,brake_agonize,agonize,low,2,yes,"Screen shows robust brake signal (z=3.81, FDR=0.007) and PIK3C3 is sm_tractable enzyme, but genetics support is for neurodegenerative disease not autoimmune (score 0.0) and knockdown efficacy is negative, undermining directional confidence.","Strong screen/druggability signal is not matched by autoimmune genetics (OT_autoimmune_score=0.0); disease association is neurodegenerative, not inflammatory, so the population-genetics layer does not corroborate an autoimmune indication.","novel - no existing drug (PIK3C3/VPS34 inhibitors exist in oncology/autophagy research, e.g. SAR405, but none clinically approved; could repurpose autophagy-pathway small molecules as agonist-direction leads with caution)"
ZDHHC17,120,brake_agonize,agonize,low,2,yes,"Screen shows robust brake signal (signed_z=4.57, FDR=0.001, context-specific 0.72) supporting agonism, and small-molecule tractability is favorable, but genetics for autoimmune disease is weak (SLE score 0.2, moderate tier) and top OT association is neurodegenerative, not autoimmune.","Strong causal screen direction is not matched by disease genetics: autoimmune (SLE) association score is only 0.2 and the top OT disease link is neurodegenerative, not inflammatory, weakening confidence that agonizing ZDHHC17 addresses autoimmune pathology.",novel - no existing drug (ZDHHC palmitoyltransferase family is largely undrugged; no chemical starting point beyond generic zDHHC inhibitor scaffolds in early research)
OS9,121,driver_antagonize,antagonize,low,2,yes,"Screen shows robust, context-specific driver signal (z=-3.95, FDR=0.003) supporting antagonism, and antibody-tractable modality is plausible, but autoimmune genetics are weak (MS score 0.21) and top disease association is unrelated (holoprosencephaly).","Strong causal knockdown effect is not backed by meaningful autoimmune disease genetics (OT autoimmune score only 0.21, non-LoF-constrained), and protein_class is missing/undefined despite claimed ab-tractability.","novel - no existing drug (OS9 is an ER quality-control lectin/chaperone in ERAD pathway; no approved biologics target it, would require de novo antibody development)"
APBB1IP,122,driver_antagonize,,low,2,no,"Screen shows significant driver signal (z=-3.81, FDR 0.01) supporting antagonism, but genetics top hit is cancer (0.61) with autoimmune association only via unrelated Noonan syndrome (0.53), weakening disease-relevance concordance despite ab-tractable, undrugged status.","Layer2 genetics does not actually support an autoimmune/inflammatory indication - top score is for cancer and the 'autoimmune' association listed (Noonan syndrome) is not a bona fide autoimmune disease, so genetics-screen concordance for the stated indication is weak/misleading.","novel - no existing drug; APBB1IP (RIAM) is an intracellular adaptor regulating integrin activation, so despite 'antibody/biologic surface' suggestion, true druggability as a surface antibody target is questionable given its known cytoplasmic localization."
NCOA5,123,brake_agonize,agonize,low,2,yes,"Knockdown significantly raised the pro-inflammatory program (z=3.85, FDR=0.006) indicating NCOA5 is a brake, but genetic support for autoimmune disease is weak (Graves score 0.27, top hit is neurodegenerative disease) and protein class is undefined despite sm_tractable flag.","Screen direction is robust but population genetics only weakly implicates autoimmune disease (score 0.27) and top OT association is neurodegenerative disease, not inflammatory, undermining disease relevance; also protein_class is NaN despite claimed druggability.","novel - no existing drug (n_existing_drugs=0, max_drug_stage null); no known agonist chemotype for NCOA5 to build on."
BAK1,129,brake_agonize,agonize,low,2,yes,"Screen shows significant brake signal (z=3.58, FDR=0.012) supporting agonism, and small-molecule tractability exists, but the top genetic association (BCLL, score 0.45) is not autoimmune-relevant and BAK1's apoptotic role raises mechanistic concern for an agonist strategy.","Layer2 'autoimmune' association is actually B-cell CLL (a cancer, not an inflammatory/autoimmune disease), so the genetics do not truly corroborate an autoimmune indication despite being labeled 'strong' and 'autoimmune_score'.","novel - no existing drug; BAK1 is a core apoptosis effector (BCL-2 family), so agonism would need a novel activator distinct from existing BCL-2/BAK-BAX inhibitors (e.g., venetoclax targets the opposing inhibitory node)."
ITM2A,130,brake_agonize,agonize,low,2,yes,"Knockdown significantly raises the pro-inflammatory program (z=3.55, FDR=0.018) marking ITM2A as a brake, and it is surface/antibody-tractable, but disease genetics is modest and mostly non-autoimmune (top score osteoarthritis 0.38; Graves 0.32) with no LoF constraint.","Genetics support is weak/off-target for autoimmunity (top hit is osteoarthritis, autoimmune score only 0.32) despite being labeled 'strong' tier, and agonizing a surface protein therapeutically is mechanistically harder than antagonism with antibodies.","novel - no existing drug; would require agonist biologic/engineered ligand rather than standard antagonist antibody, no precedent compound identified"
FADS3,131,driver_antagonize,,low,2,no,"Strong significant driver signal (z=-3.64, FDR 0.01) and Crohn disease genetic association (score 0.31) support antagonism, but FADS3 is a lipid-metabolizing enzyme (fatty acid desaturase), not a surface/antibody-tractable target as layer3 modality suggests.","Layer3 druggability annotation (antibody/biologic, surface-tractable) is mechanistically implausible for FADS3, an intracellular ER-membrane desaturase enzyme with missing protein_class, casting doubt on the tractability call.",novel - no existing drug; small-molecule desaturase inhibitor (cf. SCD1 inhibitor chemotypes) would be a more plausible modality than antibody/biologic if enzymatic activity is confirmed.
UBE2L6,132,driver_antagonize,,low,2,no,"Screen shows robust driver signal (z=-4.02, FDR=0.002, context-specific at Stim8hr) and small-molecule tractability, but Open Targets genetics are weak/off-target (autoimmune score 0.04, top hit is smoking initiation, not LoF-constrained).","Strong causal screen direction is not supported by population genetics: autoimmune disease association score is negligible (0.04) and top genetic association (smoking initiation) is unrelated to inflammation, weakening confidence that perturbing UBE2L6 would translate to human autoimmune benefit.","novel - no existing drug; UBE2L6 (UBE2L6/UbcH8) is an ISG15-conjugating E2 enzyme in the ISGylation pathway, so any inhibitor would be a first-in-class ISGylation-pathway modulator rather than a repurposed agent."
SFRP1,137,driver_antagonize,antagonize,low,2,yes,"Screen shows robust driver signal (z=-3.67, FDR=0.006) supporting antagonism, and small-molecule tractability exists, but genetics is strong only for coronary artery disease (score 0.31) with null autoimmune association, undermining an autoimmune indication.","Strong disease genetics is for coronary artery disorder, not autoimmune/inflammatory disease (OT_autoimmune_score=0.0), so genetics does not corroborate the inflammatory screen phenotype.","novel - no existing drug (n_existing_drugs=0, undrugged; SFRP1 is a Wnt antagonist, so small-molecule or biologic modulators of Wnt signaling could be explored as a starting point)"
NCOA2,138,driver_antagonize,antagonize,low,2,yes,"Screen shows significant driver signal (z=-3.49, FDR=0.009) and NCOA2 is sm_tractable/druggable, but genetics top hit is atrial fibrillation with zero autoimmune association score, undermining disease relevance.","Strong, significant knockdown-driver phenotype in the T-cell screen is not supported by any autoimmune genetic association (OT_autoimmune_score=0.0); top disease link is atrial fibrillation, an unrelated indication.","novel - no existing drug (n_existing_drugs=0, novelty_class novel_undrugged); as a nuclear receptor coactivator/enzyme class target, could potentially build on steroid-receptor coactivator small-molecule inhibitor programs explored in oncology."
PPIF,144,brake_agonize,,low,2,no,"Screen shows knockdown raises pro-inflammatory program (signed_z=3.78, FDR=0.007) supporting brake/agonize, but genetics is weak for autoimmune (psoriasis score 0.11) and top disease association is neurodegenerative, not immune-mediated.","Strong, significant screen direction is not corroborated by autoimmune genetics (OT_autoimmune_score only 0.11; top association is neurodegenerative disease), and PPIF (cyclophilin D) agonism is mechanistically unusual since known ligands (cyclosporine A) are inhibitors, not activators.","PPIF is cyclophilin D, the classical target of cyclosporine A/sanglifehrin-class inhibitors (mitochondrial permeability transition pore); no known agonists exist, so an agonize strategy would be novel and lacks precedent."
PLEKHM1,150,driver_antagonize,antagonize,low,2,yes,"Screen shows significant driver-like knockdown effect (z=-3.79, FDR=0.007) and gene is sm_tractable/druggable, but genetics is moderate and tied only to osteopetrosis (score 0.52) with zero autoimmune disease association (score 0.0).","Strong screen signal in CD4+ T cells lacks any supporting autoimmune/inflammatory human genetics (OT_autoimmune_score=0.0); disease link is skeletal (osteopetrosis), not immune, undermining indication rationale.","novel - no existing drug (n_existing_drugs=0, protein_class unresolved/NaN, undrugged target space)"
SLC25A37,156,driver_antagonize,antagonize,low,2,yes,"Screen shows significant driver signal (z=-3.58, FDR=0.012) and transporter is ab_tractable/druggable, but top OT genetics hit is neurodegenerative disease with only weak autoimmune association (T1D score 0.29) and no LoF constraint.","Strong causal screen direction and druggability are not matched by autoimmune-specific genetics; top disease association is neurodegenerative, not inflammatory/autoimmune, weakening the disease-relevance link.",novel - no existing drug (mitochondrial iron transporter SLC25A37/mitoferrin-1; no chemical probes or approved drugs reported)
PPP2R5C,162,driver_antagonize,,low,2,no,"Screen shows significant knockdown-lowers-inflammation driver signal (z=-3.49, FDR=0.015) supporting antagonism, and sm_tractable druggability with LoF constraint, but genetics is only moderate/off-target (top hit Houge-Janssens syndrome, autoimmune score just 0.39) and protein class is unknown.","Population genetics does not support an autoimmune indication (top disease association is a developmental syndrome, not autoimmune; autoimmune score weak at 0.39), so causal screen direction and human genetics diverge on indication relevance.","novel - no existing drug (PP2A regulatory subunit B56-gamma; no chemical probes or approved agents reported, n_existing_drugs=0)"
EDEM3,165,driver_antagonize,antagonize,low,2,yes,"Screen shows significant driver signal (z=-3.45, FDR=0.01) supporting knockdown, but genetics strongly implicates a glycosylation disorder (0.78) rather than autoimmunity (SLE score only 0.3), weakening disease relevance.","Strong population genetics is for a congenital glycosylation disorder, not the autoimmune indication, and EDEM3 is an ER-resident glycan-trimming enzyme, making a surface antibody/biologic modality mechanistically implausible despite the 'ab_tractable' tag.",novel - no existing drug; would require de novo small-molecule glycosidase inhibitor rather than the suggested antibody/biologic given likely intracellular ER localization
IFITM2,166,driver_antagonize,,low,2,no,"Screen shows significant driver signal (z=-3.47, FDR=0.01) and IFITM2 is antibody-tractable, but disease genetics is modest (autoimmune score 0.29, top hit hypothyroidism not a classic inflammatory indication) and not LoF-constrained.","Genetics tier labeled 'strong' yet actual OT scores (0.32/0.29) are low-moderate and the top association (hypothyroidism) is only loosely autoimmune, weakening the causal-genetics/screen concordance; also protein_class is missing (NaN), leaving structural rationale unclear despite 'is_druggable=true'.","novel - no existing drug (n_existing_drugs=0); IFITM proteins are typically studied as antiviral restriction factors, not prior drug targets, so any biologic would be first-in-class."
PPP1R3B,174,driver_antagonize,antagonize,low,2,yes,"Screen shows significant driver signal (z=-3.62, FDR=0.011, context-specific 0.82) supporting antagonism, but autoimmune genetics is weak (OT score 0.35, top hit is neurodegenerative disease not autoimmune) and protein class is unknown despite sm_tractable flag.","Strong causal screen direction is not matched by autoimmune-relevant genetics (top OT association is neurodegenerative disease, autoimmune score only 0.35, not LoF constrained), and protein class is missing (NaN) despite claimed small-molecule tractability.","novel - no existing drug (n_existing_drugs=0, novelty_class novel_undrugged); no known chemotype to build on."
ARHGAP27,187,driver_antagonize,,low,2,no,"Screen shows significant driver-like knockdown effect (z=-3.4, FDR=0.012) and small-molecule tractability, but autoimmune genetic support is weak (SLE score 0.2, top OT hit is neurodegenerative disease, not LoF constrained).","Strong, significant Perturb-seq driver signal is not backed by autoimmune-specific genetics (OT autoimmune score only 0.2; top disease association is neurodegenerative, unrelated to inflammation), and protein class is unspecified (NaN) despite claimed sm_tractable/druggable status.","novel - no existing drug (n_existing_drugs=0, undrugged target; no known chemotype to build on)"
TYW5,193,driver_antagonize,antagonize,low,2,yes,"Screen shows significant driver signal (z=-3.65, FDR=0.015) but genetics is only moderate and entirely non-autoimmune (top hit schizophrenia, autoimmune score 0.0), undermining disease relevance for this indication.","Strong causal knockdown effect is not supported by any autoimmune/inflammatory genetic association (OT_autoimmune_score=0.0), so the disease link for this indication is unestablished despite the screen hit.","novel - no existing drug (n_existing_drugs=0, undrugged small-molecule tractable target)"
ATP8B2,205,brake_agonize,agonize,low,2,yes,"Knockdown raises the pro-inflammatory program (signed_z 3.5, FDR 0.009) supporting a brake/agonize call, and it is ab_tractable, but autoimmune genetic support is weak (MS score 0.26, moderate tier, not LoF constrained) and top disease association is T2D, not autoimmune.","Strong, significant screen signal is not matched by disease genetics: OT autoimmune (MS) score is only 0.26 and top-scoring disease is type 2 diabetes, not an autoimmune/inflammatory condition.","novel - no existing drug (n_existing_drugs=0, undrugged transporter; would require de novo small-molecule agonist/activator development)"
SLC44A2,206,brake_agonize,agonize,low,2,yes,"Screen shows significant brake effect (z=3.55, FDR=0.018) and transporter is ab_tractable, but genetics ties SLC44A2 to venous thromboembolism (score 0.39) with zero autoimmune association, undermining an inflammatory-disease rationale.",No autoimmune/inflammatory genetic signal (OT_autoimmune_score=0.0) despite the screen's inflammatory-program phenotype; top disease association (VTE) is mechanistically unrelated to inflammation.,novel - no existing drug (SLC44A2/CTL2 choline transporter has no approved ligands; would require de novo small-molecule agonist discovery)
MYO18A,56,brake_agonize,,low,1,no,"Screen shows strong, significant brake signal (signed z=12.14, FDR=0) supporting agonism, but genetics is only moderate and top disease association is cancer/CML (score 0.61) not autoimmune (0.37), weakening translational fit; protein_class missing undercuts druggability confidence despite ab_tractable tag.","Genetics layer top hit is oncology (CML), not autoimmune disease, and protein_class is undefined (NaN), so the biologic/antibody modality suggestion for a likely intracellular myosin motor protein is questionable.","novel - no existing drug (0 existing drugs, undrugged target; MYO18A is an unconventional myosin, atypical target for antibody biologics given likely intracellular localization)"
TUFM,63,brake_agonize,agonize,low,1,yes,"Screen shows knockdown raises the pro-inflammatory program (signed_z=4.55, FDR=0) suggesting a brake, but top genetics hit is a mitochondrial OXPHOS defect (score 0.77) not autoimmunity (UC score only 0.3), and TUFM's core role as a mitochondrial translation factor makes selective small-molecule agonism mechanistically implausible.","Strong genetic signal is for a mitochondrial disease, not the autoimmune indication, and TUFM (mitochondrial EF-Tu) is an essential housekeeping gene, making a targeted 'agonize' therapeutic hypothesis biologically incoherent despite the clean screen direction.",novel - no existing drug; TUFM is not a validated drug target and no chemical starting point exists
PNPT1,76,brake_agonize,agonize,low,1,yes,"Screen shows knockdown raises the inflammatory program (signed z=6.12, FDR=0) suggesting PNPT1 is a brake, but genetics links it only to a mitochondrial OXPHOS disorder (score 0.81) with no autoimmune association, and PNPT1 is a mitochondrial RNA exonuclease, not a plausible antibody/biologic target despite the 'ab_tractable' tag.","Layer3 modality (antibody/biologic, surface) is mechanistically implausible for PNPT1, a mitochondrial intermembrane-space RNA-processing enzyme, and protein_class is missing (NaN), undermining druggability confidence; also no autoimmune genetics signal despite strong screen effect.","novel - no existing drug (n_existing_drugs=0, max_drug_stage=null); no repurposing candidate identified"
MYC,81,brake_agonize,uncertain,low,1,uncertain,"Screen shows MYC knockdown raises the pro-inflammatory program (signed_z 3.43, FDR 0.011) implying brake/agonize, but MYC is an LoF-constrained oncogenic TF with no autoimmune genetics (top score is Burkitt lymphoma, not an autoimmune trait) and no tractable agonist modality.","Layer2 'autoimmune' association is actually Burkitt lymphoma (oncology, not autoimmune), and MYC is a notoriously undruggable/LoF-constrained TF for which small-molecule agonism is not a realistic modality, directly conflicting with the antagonize-friendly druggability framing.","novel - no existing drug; MYC has historically resisted direct small-molecule targeting (indirect BET/CDK9 inhibitors used to suppress MYC exist, but no agonist strategy exists)"
SMIM3,95,driver_antagonize,,low,1,no,"Screen shows strong, significant driver signal (z=-5.28, FDR=0) at Stim8hr, but genetics show no autoimmune association (score 0.07, top hit is neurodegenerative disease) and protein class is unknown, undermining a coherent antagonist hypothesis.","Strong causal driver signal is not supported by disease genetics — top OT association is neurodegenerative disease (0.41) with negligible autoimmune score (0.07), and protein_class is missing/NaN despite an assigned tractability tier.",novel - no existing drug; suggested antibody/biologic modality against a surface target but no characterized protein class or ligandable domain to anchor a program
RFT1,96,driver_antagonize,,low,1,no,"Screen shows significant driver signal (z=-3.87, FDR=0.006) but RFT1 is an ER-resident flippase for N-glycosylation, not a surface antibody target, and top genetics hit is a rare Mendelian CDG, not autoimmune disease (score 0.33).","Layer3 modality (antibody/biologic-surface) is mechanistically implausible for RFT1, an intracellular ER membrane flippase essential for core glycosylation, making the suggested druggability annotation unreliable/likely mismatched to true protein class.","novel - no existing drug; also loss of RFT1 causes congenital disorder of glycosylation, raising concern that systemic antagonism could cause severe on-target toxicity given essential glycosylation role."
FAM241A,107,brake_agonize,,low,1,no,"Screen shows significant brake/agonize signal (z=3.64, FDR=0.006) but genetics scores strongly for atrial fibrillation, not autoimmune disease (score 0), leaving no genetic support for an inflammatory indication.","Strong population genetics is for a cardiac trait (atrial fibrillation) with zero autoimmune association, while the screen and modality point toward an inflammatory/autoimmune hypothesis—genetics and screen indication are mismatched, and protein class is undefined (NaN).",novel - no existing drug; antibody/biologic modality suggested but no protein class or family precedent to anchor design
